X1;X2;X3;X4;X5;X6;X7;X8;Y
2013;1;1;60000;60;1;1;0;1
2013;1;1;15761;20;2;1;0;1
2013;3;1;34000;35;2;1;0;1
2013;1;1;21000;22;2;2;0;1
2015;3;1;36000;21;3;1;0;1
2014;3;1;15980;35;2;1;0;1
2014;3;1;15000;22;3;1;0;1
2014;4;3;97000;45;3;1;1;1
2014;2;3;16000;21;2;1;0;1
2014;3;1;29600;40;3;1;0;1
2014;2;3;10000;30;1;1;0;0
2014;3;1;9460;16;3;2;0;1
2014;3;1;4300;12;2;2;0;1
2014;2;1;17000;0;2;1;0;0
2014;1;1;14000;18;2;1;0;0
2014;3;1;14000;22;2;1;0;1
2015;3;1;4800;6;2;2;0;1
2016;3;1;3200;3;2;2;0;1
2014;3;6;4000;8;1;2;0;1
2015;3;6;2870;8;1;2;0;1
2014;3;1;10900;14;2;1;0;1
2014;3;1;1300;5;2;2;0;1
2015;3;1;3700;5;2;2;0;1
2015;3;1;2145;7;3;2;0;1
2017;3;1;9575;20;2;1;0;0
2016;1;1;12000;30;3;1;0;1
2017;1;1;10708;21;2;2;0;1
2014;3;1;18000;35;2;1;0;1
2015;3;1;8000;10;3;2;0;1
2014;3;1;24000;28;2;1;0;1
2014;2;1;18000;18;3;1;0;1
2014;3;1;35000;45;2;1;0;1
2014;3;1;14400;21;1;1;0;0
2014;3;1;21000;32;2;1;0;1
2014;3;1;14000;15;2;1;0;1
2016;3;1;18500;50;3;1;0;1
2017;3;1;7700;15;2;2;0;1
2016;3;1;18000;28;2;1;0;1
2016;3;1;16000;24;3;1;0;1
2014;3;1;43000;45;2;2;0;1
2015;3;1;16500;14;3;1;0;1
2014;3;1;12000;14;2;1;0;1
2015;3;1;24000;21;2;1;0;1
2015;3;1;15000;16;2;1;1;1
2015;3;1;14000;24;1;1;0;1
2017;3;1;6000;14;2;2;0;1
2015;3;1;16000;24;3;1;0;1
2015;3;1;18000;18;2;1;0;1
2015;3;1;38000;40;2;1;0;1
2015;1;6;8000;15;3;2;0;1
2015;3;1;15000;10;1;1;0;1
2015;1;1;24000;30;1;2;0;1
2015;3;1;16000;14;2;1;0;0
2015;3;6;25000;20;3;1;0;1
2015;1;1;14570;30;3;1;0;1
2015;1;1;25140;32;2;1;1;0
2017;3;1;15000;18;2;1;0;1
2015;3;1;7000;13;3;2;0;1
2015;2;3;7000;21;3;1;0;0
2015;3;1;15000;21;1;1;0;1
2017;3;1;24370;31;2;2;0;1
2015;1;1;24500;30;3;1;0;0
2015;3;1;14250;10;2;1;0;0
2015;3;1;16000;21;2;1;0;1
2016;3;1;13500;18;2;1;0;1
2016;2;1;9000;12000;1;1;0;1
2015;3;1;13700;14000;2;1;0;1
2019;3;1;22575;32;3;1;1;1
2015;1;1;35400;41;2;1;1;0
2015;3;1;16000;8;2;1;0;1
2015;3;1;16000;21;3;2;0;0
2015;3;1;9900;15;2;1;0;1
2015;1;1;8600;6;1;1;0;1
2015;2;3;8000;12000;3;1;0;0
2015;3;1;14000;20;1;1;0;1
2015;3;1;5000;8;2;1;0;1
2015;3;1;16000;21;3;1;0;1
2015;1;1;19300;32;2;1;0;1
2015;3;1;9000;18;2;1;0;1
2015;2;3;6000;8;2;2;0;1
2016;1;1;42000;60;2;1;1;0
2016;3;1;16000;8;1;1;0;1
2016;3;1;12000;10;1;1;0;1
2016;3;1;17100;24;1;1;0;1
2016;1;1;25875;34;2;1;1;1
2016;3;1;18000;28;2;1;0;1
2016;3;1;11800;16;1;1;0;1
2016;1;1;15600;21;2;1;0;1
2016;3;1;13000;21;2;1;0;1
2016;1;1;15120;30;3;1;0;0
2016;3;1;12900;18;2;1;0;1
2016;1;6;12000;8;1;2;0;1
2016;1;1;17000;21;1;1;0;1
2016;3;1;16400;30;3;1;0;1
2016;3;1;24000;40;3;1;0;1
2016;3;1;12000;10;2;1;0;0
2016;1;1;18400;21;2;1;0;0
2016;3;1;16000;18;1;1;0;1
2016;1;1;32000;21;1;1;1;1
